ชื่ออาหาร,วัตถุดิบ_ไม่มีปริมาณ,,query1 อยากกินอาหารครบ,query2 ,query 3 
แกงส้มผักรวมปลากระพง,"ปลา,  พริกแกง,  มะละกอ,  หัวไชเท้า, ผักบุ้ง,  ถั่วฝักยาว, น้ำมะขามเปียก,  น้ำตาลมะพร้าว,  น้ำปลา,  เกลือ,  น้ำเปล่า",,มีแกงอร่อยๆ ใส่เนื้อปลา พริกแกงส้ม รสชาติจิ้ดๆ อร่อย ,,
น้ำตกเนื้อ,"เนื้อ,  น้ำปลา,  มะนาว,  พริกป่น,  ข้าวคั่ว,  หอมแดง,  ต้นหอม,  ผักชีฝรั่ง, ใบมะกรูดซอย,  พริกขี้หนู, ผงคนอร์",,อยากกินอาหารที่เป็นเครื่องเคียงกินกับส้มตำ ใส่ข้าวคั่ว เนื้อสันนอก ผักชีฝรั่ง อร่อยๆ เผ็ดถึง เค็มถึง,,
ขนมจีนน้ำยากะทิไก่ข้น (หลัวรักหลัวหลง),"อกไก่,  กะทิ,  น้ำปลา,  ปลาร้า,  พริกแห้ง, หอมแดง, กระเทียม, ตะไคร้, ใบมะกรูด, กระชาย",,กินเนื้ออกไก่ กะทิ น้ำปลา ปลาร้า  กินกับเส้นขนมจีนน่าจะดี,,
ขนมจีนแกงไตปลา,"ไต,  ข่า,  ตะไคร้,  ใบมะกรูด,  น้ำเปล่า,  พริกแกง,  เนื้อปลา,  หน่อไม้,  ฟักทอง,  ถั่วฟักยาว,  มะเขือเปราะ,  มะเขือพวง,  น้ำมะขามเปียก,  น้ำตาลปี๊บ,  ขนมจีน",,ในตู้เย็นมี ไตปลา ข่า ตะไคร้ มีถั่วต่างๆด้วย  อยากกินกับเส้นๆ,,
ต้มจืดมะระยัดไส้,"มะระ,  หมูสับ,  วุ้นเส้น,  พริกไทย,  ซอสหอยนางรม,  ผงปรุงรส,  ซุปก้อน,  น้ำเปล่า,  รากผักชี,  ผักชี,  เก๋ากี้,  เห็ดหอม",,อยากกินมะระ หวานลึกขมตาม คล่องคอ ,,
ผัดกะเพรากุ้ง,"กุ้ง,  พริกชี้ฟ้า,  ใบกะเพรา, น้ำตาลทราย,  น้ำปลา,  น้ำมัน",,มีใบกะเพรา กับกุ้ง ทำอะไรได้บ้าง,,
ข้าวกะเพราเนื้อสับ-ไข่ดาว,"วัว,  พริกแดง,  กระเทียม,  น้ำปลา,  ซีอิ๊วขาว,  น้ำตาลทราย,  ใบกะเพรา,  น้ำมัน",,อยากกินกะเพราอร่อยๆ ทำมาจากเนื้อ รสชาติเผ็ดถึงใจ,,
ข้าวขาหมู,"ขาหมู,  โป๊ยกั๊ก,  อบเชย,  กระเทียม,  รากผักชี,  พริกไทยดำ,  เห็ดหอม,  ผงพะโล้,  ซีอิ๋วดำ,  ซีอิ๋วขาว,  ซอสปรุง,  น้ำตาบปี๊บ,  น้ำ",,อยากกินขาหมู รสถึงเครื่อง,,
น้ำจิ้มปลาเผา (มะขาม),"มะขาม,  น้ำตาลปิ้บ,  น้ำเปล่า,  พริกขี้หนู,  หอมแดง",,มีมะขาม น้ำตาบปิ้ป น้ำปบา พริก หอมแดง ทำน้ำจิ้มอะไรได้บ้าง,,
แกงส้มผักรวมน้ำข้น,"น้ำ,  หัวไชเท้า,  แครอท,  ถั่วฝักยาว,  ปลา,  คนอร์,  น้ำมะขามเปียก, น้ำตาลทราย,  น้ำปลา",,มี พริิกแกงส้มเหบือ กับผักต่างๆ เช่น แครอท หัวไชเท้า ทำเมนูอะไรดี ,,
แกงส้มปลาทู (แกงส้มใต้),"ปลาทู,  มะละกอ,  ผักบุ้งไทย,  น้ำมะขามเปียก,  น้ำตาลทราย,  น้ำสะอาด,  พริกแกง,  กะปิ,  มะนาว",,อยากกินแกง ที่มีปลาทูตัวใหญ่ๆ ใส่มะละกอกับผักบุ้ง,,
ขนมจีนน้ำยาปลาช่อน X ตีนไก่+ลูกชิ้นปลา,"ขนมจีน,  ปลาช่อน,  กะทิ,  พริกแกง,  กระชายซอย,  ปลาเค็ม,  กะปิ,  น้ำปลา,  ผัก,  ผักกาดดอง,  ใบแมงลัก,  พริกแห้ง",,อยากกินขนมจีนอร่อยๆ น้ำยาทำมาจากปลา ใส่กะทิ ผู้ใหญ่กินได้ เด็กกินดี,,
เส้นใหญ่ผัดซีอิ๊วไก่,"เส้นใหญ่,  ไก่,  ไข่ไก่,  คะน้า,  กระเทียม,  ซีอิ๊วดำ,  น้ำปลา,  ซอสปรุงรส,  ซีอิ๊วขาว,  น้ำมันพืช,  มะนาว, พริกไทย",,อยากกินอะไรง่ายๆ ทำมาจากเส้นใหญ่ที่เหลืออยู่ ใส่ไก่ ใส่ไข่,,
ยำวุ้นเส้นเครื่องล้น,"วุ้นเส้น,  หมูสับ,  เห็ดเข็มทอง,  หอมแขก, ขึ้นช่าย,  แครอท, ผักกาดขาว,  น้ำปลา,  น้ำมะนาว,  น้ำตาล,  พริกป่น",,อยากกินอะไรแซ่บๆ รสชาติเปรี้ยวถึง เผ็ดถึง ใส่วุ้นเส้น หมูสับ ผักกาด เห็ด,,
ต้มยำปลาคัง,"ปลา,  ตะไคร้,  ใบมะกรูด,  ข่า,  ต้นหอม,  ผักชีฝรั่ง,  ผักชี,  น้ำปลา,  น้ำมะนาว,  พริกขี้หนู,  หอมแดง,  ซีอิ๋วขาว,  น้ำเปล่า,  มะเขือเทศ,  คนอร์,  กระเทียม",,มีเนื้อปลาคัง พริก ตะไคร้ ใบมะกรูด เหลือในตู้เย็น ทำอะไรได้บ้าง,,
